message_id,conversation_id,match_id,sender_id,sender_type,receiver_id,receiver_type,message_type,message_content,timestamp,message_status,response_time_minutes,attachment_count,is_edited,edit_timestamp,encryption_key
MSG_0_14,CONV_0,MATCH_1331,ALUMNI_M5688,mentor,S3675,mentee,text,Sample message content 14 in conversation 0,2026-04-26 11:22:17.016601,replied,1330.0,0,True,,enc_key_004750a4169a5f0e
MSG_0_15,CONV_0,MATCH_1331,S3675,mentee,ALUMNI_M5688,mentor,file,Sample message content 15 in conversation 0,2026-04-18 03:22:17.016633,read,1294.0,1,False,,enc_key_9225e6998e3f3e47
MSG_1_0,CONV_1,MATCH_284,M490,mentor,S3188,mentee,file,Sample message content 0 in conversation 1,2026-04-16 20:22:17.018528,delivered,,1,False,,enc_key_72e6f6e0f08ca88f
MSG_1_1,CONV_1,MATCH_284,S3188,mentee,M490,mentor,voice_note,Sample message content 1 in conversation 1,2026-04-19 16:22:17.018585,read,487.0,3,True,,enc_key_ec308451c1d095c5
MSG_1_2,CONV_1,MATCH_284,M490,mentor,S3188,mentee,file,Sample message content 2 in conversation 1,2026-04-10 11:22:17.018623,replied,866.0,0,False,,enc_key_ab35e84a215f0f71
MSG_1_3,CONV_1,MATCH_284,M490,mentor,S3188,mentee,text,Sample message content 3 in conversation 1,2026-04-26 23:22:17.018656,replied,121.0,1,True,,enc_key_f0f421418433ba3c
MSG_1_4,CONV_1,MATCH_284,M490,mentor,S3188,mentee,schedule_request,Sample message content 4 in conversation 1,2026-04-16 01:22:17.018688,delivered,457.0,2,True,,enc_key_34b8a5e9772cd73d
MSG_1_5,CONV_1,MATCH_284,S3188,mentee,M490,mentor,video_call,Sample message content 5 in conversation 1,2026-04-07 23:22:17.018812,sent,1430.0,3,False,,enc_key_2cb17e69baebaeed
MSG_1_6,CONV_1,MATCH_284,S3188,mentee,M490,mentor,schedule_request,Sample message content 6 in conversation 1,2026-05-05 04:22:17.018846,replied,28.0,3,True,,enc_key_291dd475d0224126
MSG_1_7,CONV_1,MATCH_284,S3188,mentee,M490,mentor,video_call,Sample message content 7 in conversation 1,2026-04-20 03:22:17.018875,replied,788.0,2,True,,enc_key_a38d461d24e96016
MSG_1_8,CONV_1,MATCH_284,S3188,mentee,M490,mentor,video_call,Sample message content 8 in conversation 1,2026-04-16 05:22:17.024835,delivered,1374.0,1,True,,enc_key_77c77478b552f197
MSG_1_9,CONV_1,MATCH_284,M490,mentor,S3188,mentee,schedule_request,Sample message content 9 in conversation 1,2026-05-01 03:22:17.024894,sent,603.0,2,True,,enc_key_b80a98836bb3f1f4
MSG_1_10,CONV_1,MATCH_284,S3188,mentee,M490,mentor,video_call,Sample message content 10 in conversation 1,2026-04-06 15:22:17.024931,delivered,987.0,3,False,2026-04-11 11:22:17.024947,enc_key_5cd6a063c51df65a
MSG_1_11,CONV_1,MATCH_284,S3188,mentee,M490,mentor,file,Sample message content 11 in conversation 1,2026-04-25 03:22:17.024974,read,63.0,1,True,,enc_key_b882b325a4c32027
MSG_1_12,CONV_1,MATCH_284,S3188,mentee,M490,mentor,voice_note,Sample message content 12 in conversation 1,2026-04-19 08:22:17.025006,replied,1076.0,2,False,,enc_key_ef914082afe6874a
MSG_1_13,CONV_1,MATCH_284,S3188,mentee,M490,mentor,file,Sample message content 13 in conversation 1,2026-04-23 16:22:17.025037,replied,968.0,0,True,,enc_key_c6b90c3c2e476767
MSG_1_14,CONV_1,MATCH_284,M490,mentor,S3188,mentee,text,Sample message content 14 in conversation 1,2026-05-02 04:22:17.025075,replied,528.0,2,True,,enc_key_9be1cd563f04d329
MSG_1_15,CONV_1,MATCH_284,S3188,mentee,M490,mentor,text,Sample message content 15 in conversation 1,2026-04-14 05:22:17.025108,replied,338.0,0,True,,enc_key_7177ff6aafad58b0
MSG_1_16,CONV_1,MATCH_284,S3188,mentee,M490,mentor,schedule_request,Sample message content 16 in conversation 1,2026-05-03 01:22:17.025137,sent,230.0,3,False,,enc_key_953c63b37f046860
MSG_1_17,CONV_1,MATCH_284,S3188,mentee,M490,mentor,file,Sample message content 17 in conversation 1,2026-04-16 11:22:17.025169,sent,439.0,1,True,,enc_key_821588896b793f28
MSG_1_18,CONV_1,MATCH_284,M490,mentor,S3188,mentee,voice_note,Sample message content 18 in conversation 1,2026-04-17 03:22:17.025211,sent,963.0,0,True,2026-04-24 11:22:17.025226,enc_key_06f05548148f447f
MSG_2_0,CONV_2,MATCH_7018,S3177,mentee,M616,mentor,voice_note,Sample message content 0 in conversation 2,2026-04-16 01:22:17.026352,sent,,2,True,,enc_key_bb27a66f482c8fb2
MSG_2_1,CONV_2,MATCH_7018,S3177,mentee,M616,mentor,schedule_request,Sample message content 1 in conversation 2,2026-04-18 05:22:17.026407,replied,819.0,0,False,,enc_key_f9c340648e746ce4
MSG_3_0,CONV_3,MATCH_6382,S2267,mentee,ALUMNI_M577,mentor,text,Sample message content 0 in conversation 3,2026-04-15 20:22:17.031501,read,,3,False,,enc_key_bec5508bc8bf3ed6
MSG_3_1,CONV_3,MATCH_6382,S2267,mentee,ALUMNI_M577,mentor,file,Sample message content 1 in conversation 3,2026-04-08 03:22:17.031565,read,1179.0,2,True,,enc_key_f860ba666ed65794
MSG_3_2,CONV_3,MATCH_6382,ALUMNI_M577,mentor,S2267,mentee,voice_note,Sample message content 2 in conversation 3,2026-04-28 02:22:17.031607,read,1389.0,2,False,2026-04-20 11:22:17.031637,enc_key_dfe3a334fc99f298
MSG_3_3,CONV_3,MATCH_6382,ALUMNI_M577,mentor,S2267,mentee,voice_note,Sample message content 3 in conversation 3,2026-04-15 16:22:17.031664,sent,239.0,2,True,2026-04-26 11:22:17.031679,enc_key_648af13d92bf7d10
MSG_3_4,CONV_3,MATCH_6382,S2267,mentee,ALUMNI_M577,mentor,text,Sample message content 4 in conversation 3,2026-04-13 21:22:17.031704,replied,342.0,3,True,2026-04-28 11:22:17.031736,enc_key_046bf0a7d0d641c5
MSG_3_5,CONV_3,MATCH_6382,S2267,mentee,ALUMNI_M577,mentor,video_call,Sample message content 5 in conversation 3,2026-04-05 22:22:17.031763,read,1338.0,1,False,,enc_key_f7f36072ec9f0fe5
MSG_3_6,CONV_3,MATCH_6382,ALUMNI_M577,mentor,S2267,mentee,file,Sample message content 6 in conversation 3,2026-04-15 23:22:17.031795,read,1044.0,2,True,,enc_key_a1c5285851b5bbc7
MSG_3_7,CONV_3,MATCH_6382,S2267,mentee,ALUMNI_M577,mentor,text,Sample message content 7 in conversation 3,2026-05-04 11:22:17.031827,delivered,92.0,1,True,,enc_key_702c4641a48cc717
MSG_4_0,CONV_4,MATCH_6520,ALUMNI_M5028,mentor,S1675,mentee,video_call,Sample message content 0 in conversation 4,2026-04-08 20:22:17.032668,sent,,0,False,,enc_key_af641c6a59282d6d
MSG_4_1,CONV_4,MATCH_6520,S1675,mentee,ALUMNI_M5028,mentor,schedule_request,Sample message content 1 in conversation 4,2026-04-09 15:22:17.033784,delivered,1431.0,1,False,,enc_key_50f56cf872d90aa1
MSG_5_0,CONV_5,MATCH_4449,ALUMNI_M1150,mentor,S1675,mentee,voice_note,Sample message content 0 in conversation 5,2026-04-07 04:22:17.034618,sent,,0,False,,enc_key_e6d2fbafbea5d8c7
MSG_5_1,CONV_5,MATCH_4449,ALUMNI_M1150,mentor,S1675,mentee,schedule_request,Sample message content 1 in conversation 5,2026-04-23 14:22:17.035899,sent,855.0,2,False,,enc_key_da2544386071b1b9
MSG_5_2,CONV_5,MATCH_4449,ALUMNI_M1150,mentor,S1675,mentee,schedule_request,Sample message content 2 in conversation 5,2026-04-27 23:22:17.035965,replied,1283.0,2,False,,enc_key_048a9df698dad130
MSG_5_3,CONV_5,MATCH_4449,ALUMNI_M1150,mentor,S1675,mentee,schedule_request,Sample message content 3 in conversation 5,2026-05-02 00:22:17.036004,sent,39.0,3,True,,enc_key_23d46eccad947053
MSG_5_4,CONV_5,MATCH_4449,S1675,mentee,ALUMNI_M1150,mentor,video_call,Sample message content 4 in conversation 5,2026-04-12 13:22:17.036036,delivered,859.0,0,False,,enc_key_d556c84d53742edd
MSG_5_5,CONV_5,MATCH_4449,S1675,mentee,ALUMNI_M1150,mentor,schedule_request,Sample message content 5 in conversation 5,2026-04-23 04:22:17.036066,delivered,1078.0,1,False,,enc_key_85c60cf8bb218f1b
MSG_5_6,CONV_5,MATCH_4449,ALUMNI_M1150,mentor,S1675,mentee,file,Sample message content 6 in conversation 5,2026-04-06 06:22:17.036098,delivered,78.0,0,False,2026-04-21 11:22:17.036111,enc_key_b42686315da93b1d
MSG_6_0,CONV_6,MATCH_181,S2369,mentee,M3106,mentor,file,Sample message content 0 in conversation 6,2026-05-02 11:22:17.039085,sent,,2,False,2026-04-13 11:22:17.039111,enc_key_1574adfffa2f46ff
MSG_6_1,CONV_6,MATCH_181,M3106,mentor,S2369,mentee,voice_note,Sample message content 1 in conversation 6,2026-04-26 07:22:17.039157,delivered,660.0,2,False,,enc_key_acdd163a762f841c
MSG_6_2,CONV_6,MATCH_181,M3106,mentor,S2369,mentee,text,Sample message content 2 in conversation 6,2026-04-18 04:22:17.039202,read,1225.0,1,True,,enc_key_28efd832ac6f3fa5
MSG_6_3,CONV_6,MATCH_181,S2369,mentee,M3106,mentor,text,Sample message content 3 in conversation 6,2026-05-05 16:22:17.039238,sent,114.0,3,False,2026-05-06 11:22:17.039252,enc_key_3f05f60140d703c4
MSG_6_4,CONV_6,MATCH_181,M3106,mentor,S2369,mentee,voice_note,Sample message content 4 in conversation 6,2026-04-25 13:22:17.039276,replied,627.0,2,True,,enc_key_1ebd376188a4a4c3
MSG_7_0,CONV_7,MATCH_4466,S1403,mentee,ALUMNI_M1257,mentor,text,Sample message content 0 in conversation 7,2026-04-21 08:22:17.040356,read,,3,False,,enc_key_131bd3e56e4c2d0e
MSG_7_1,CONV_7,MATCH_4466,S1403,mentee,ALUMNI_M1257,mentor,video_call,Sample message content 1 in conversation 7,2026-04-19 19:22:17.040408,sent,365.0,2,False,2026-05-01 11:22:17.040424,enc_key_83ee6b8d6b40d468
MSG_7_2,CONV_7,MATCH_4466,ALUMNI_M1257,mentor,S1403,mentee,voice_note,Sample message content 2 in conversation 7,2026-04-08 02:22:17.040451,read,1122.0,0,True,,enc_key_38887226972d8bef
MSG_7_3,CONV_7,MATCH_4466,S1403,mentee,ALUMNI_M1257,mentor,schedule_request,Sample message content 3 in conversation 7,2026-04-08 17:22:17.040480,delivered,1332.0,0,False,,enc_key_e7aa1864b8d7365e
MSG_7_4,CONV_7,MATCH_4466,S1403,mentee,ALUMNI_M1257,mentor,video_call,Sample message content 4 in conversation 7,2026-05-04 11:22:17.040512,delivered,1222.0,1,False,,enc_key_5a8201a331f8ce50
MSG_8_0,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,video_call,Sample message content 0 in conversation 8,2026-04-12 16:22:17.041309,replied,,0,True,,enc_key_b22c4b251251b4e4
MSG_8_1,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,video_call,Sample message content 1 in conversation 8,2026-04-15 10:22:17.041391,replied,396.0,2,False,,enc_key_553cc46754a46fd2
MSG_8_2,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,voice_note,Sample message content 2 in conversation 8,2026-04-10 01:22:17.041429,sent,1040.0,3,False,,enc_key_204f8ab57160c2de
MSG_8_3,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,voice_note,Sample message content 3 in conversation 8,2026-05-06 00:22:17.041494,delivered,26.0,0,True,,enc_key_89557f50c89ba576
MSG_8_4,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,text,Sample message content 4 in conversation 8,2026-04-13 17:22:17.041522,delivered,145.0,3,False,2026-04-12 11:22:17.041536,enc_key_3b3de84a8caf71cd
MSG_8_5,CONV_8,MATCH_2111,ALUMNI_M5987,mentor,S3404,mentee,voice_note,Sample message content 5 in conversation 8,2026-04-23 16:22:17.041559,sent,1092.0,0,True,,enc_key_31addf41599cb377
MSG_8_6,CONV_8,MATCH_2111,S3404,mentee,ALUMNI_M5987,mentor,video_call,Sample message content 6 in conversation 8,2026-05-01 22:22:17.041588,read,1011.0,0,False,,enc_key_1e65cd4652c33157
MSG_8_7,CONV_8,MATCH_2111,S3404,mentee,ALUMNI_M5987,mentor,text,Sample message content 7 in conversation 8,2026-05-03 18:22:17.041618,delivered,603.0,1,False,,enc_key_0ec79dae83042267
MSG_8_8,CONV_8,MATCH_2111,S3404,mentee,ALUMNI_M5987,mentor,voice_note,Sample message content 8 in conversation 8,2026-05-03 00:22:17.041647,read,262.0,3,True,,enc_key_6ae5857636ee9459
MSG_8_9,CONV_8,MATCH_2111,S3404,mentee,ALUMNI_M5987,mentor,file,Sample message content 9 in conversation 8,2026-04-09 23:22:17.041676,delivered,92.0,1,True,,enc_key_3474b06ad9adfb3d
MSG_9_0,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,voice_note,Sample message content 0 in conversation 9,2026-05-02 02:22:17.042545,read,,1,False,,enc_key_e7ed4f3d60a01d27
MSG_9_1,CONV_9,MATCH_9236,S4932,mentee,ALUMNI_M1290,mentor,voice_note,Sample message content 1 in conversation 9,2026-04-17 22:22:17.042599,replied,548.0,0,True,2026-04-16 11:22:17.042616,enc_key_379909921a1da069
MSG_9_2,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,voice_note,Sample message content 2 in conversation 9,2026-05-04 12:22:17.042644,delivered,21.0,2,True,,enc_key_4a67697dc84f5e00
MSG_9_3,CONV_9,MATCH_9236,S4932,mentee,ALUMNI_M1290,mentor,file,Sample message content 3 in conversation 9,2026-05-01 16:22:17.042684,delivered,1179.0,2,False,,enc_key_546f645c9ece572d
MSG_9_4,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,video_call,Sample message content 4 in conversation 9,2026-04-16 09:22:17.042734,replied,1346.0,2,True,,enc_key_210e793219f431f2
MSG_9_5,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,file,Sample message content 5 in conversation 9,2026-04-11 20:22:17.042781,read,414.0,1,False,,enc_key_d76d106a0764a762
MSG_9_6,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,file,Sample message content 6 in conversation 9,2026-05-06 05:22:17.042815,read,503.0,3,True,,enc_key_2b634c1bf0a22397
MSG_9_7,CONV_9,MATCH_9236,S4932,mentee,ALUMNI_M1290,mentor,video_call,Sample message content 7 in conversation 9,2026-04-11 18:22:17.042847,delivered,1103.0,1,True,,enc_key_10615e3b44affaaa
MSG_9_8,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,text,Sample message content 8 in conversation 9,2026-04-10 10:22:17.042880,replied,291.0,1,True,,enc_key_1185deec7046508c
MSG_9_9,CONV_9,MATCH_9236,ALUMNI_M1290,mentor,S4932,mentee,voice_note,Sample message content 9 in conversation 9,2026-04-30 11:22:17.042940,read,949.0,2,True,,enc_key_2fcb2e4cc5fc66e1
MSG_9_10,CONV_9,MATCH_9236,S4932,mentee,ALUMNI_M1290,mentor,voice_note,Sample message content 10 in conversation 9,2026-04-11 12:22:17.042983,replied,276.0,1,False,,enc_key_8b210d3ba32bba15
MSG_9_11,CONV_9,MATCH_9236,S4932,mentee,ALUMNI_M1290,mentor,schedule_request,Sample message content 11 in conversation 9,2026-04-07 05:22:17.043036,read,778.0,2,False,,enc_key_c5d1c6f9159f558d
MSG_10_0,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,file,Sample message content 0 in conversation 10,2026-05-05 03:22:17.043864,delivered,,1,True,,enc_key_b1ec8d6630f87f78
MSG_10_1,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,voice_note,Sample message content 1 in conversation 10,2026-05-02 22:22:17.043915,sent,1311.0,2,True,2026-04-18 11:22:17.043933,enc_key_40821e9c0a198e71
MSG_10_2,CONV_10,MATCH_5432,M2260,mentor,S771,mentee,text,Sample message content 2 in conversation 10,2026-04-13 17:22:17.043960,delivered,963.0,1,True,,enc_key_cd49ded9694182bc
MSG_10_3,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,video_call,Sample message content 3 in conversation 10,2026-04-25 14:22:17.043998,read,581.0,1,True,,enc_key_1cceec254196e85c
MSG_10_4,CONV_10,MATCH_5432,M2260,mentor,S771,mentee,text,Sample message content 4 in conversation 10,2026-04-10 03:22:17.044029,sent,897.0,1,True,,enc_key_272ac326762d1003
MSG_10_5,CONV_10,MATCH_5432,M2260,mentor,S771,mentee,file,Sample message content 5 in conversation 10,2026-04-16 08:22:17.044060,delivered,148.0,3,False,,enc_key_441718b198d9874c
MSG_10_6,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,schedule_request,Sample message content 6 in conversation 10,2026-05-03 14:22:17.044091,sent,1372.0,2,False,,enc_key_8fbf78de201c8f9e
MSG_10_7,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,file,Sample message content 7 in conversation 10,2026-04-12 22:22:17.044130,read,458.0,3,True,2026-04-16 11:22:17.044141,enc_key_5095bd814934bb9c
MSG_10_8,CONV_10,MATCH_5432,S771,mentee,M2260,mentor,video_call,Sample message content 8 in conversation 10,2026-05-06 08:22:17.044165,read,508.0,0,True,,enc_key_6ca18899dee9ea1a
MSG_11_0,CONV_11,MATCH_4941,M2071,mentor,S4741,mentee,video_call,Sample message content 0 in conversation 11,2026-04-21 05:22:17.049733,replied,,3,True,,enc_key_aeac628ef298335b
MSG_11_1,CONV_11,MATCH_4941,M2071,mentor,S4741,mentee,voice_note,Sample message content 1 in conversation 11,2026-04-14 01:22:17.049801,replied,1154.0,2,True,,enc_key_fa39a51e836320c6
MSG_11_2,CONV_11,MATCH_4941,M2071,mentor,S4741,mentee,file,Sample message content 2 in conversation 11,2026-05-05 12:22:17.049839,replied,279.0,0,False,,enc_key_27adab09faa51aa5
MSG_11_3,CONV_11,MATCH_4941,S4741,mentee,M2071,mentor,file,Sample message content 3 in conversation 11,2026-04-14 22:22:17.049874,sent,1281.0,2,True,2026-04-23 11:22:17.049895,enc_key_744cc7169b25a703
MSG_12_0,CONV_12,MATCH_2152,ALUMNI_M1769,mentor,S1005,mentee,text,Sample message content 0 in conversation 12,2026-04-23 00:22:17.053865,read,,2,True,,enc_key_5c84dd08829b5949
MSG_12_1,CONV_12,MATCH_2152,ALUMNI_M1769,mentor,S1005,mentee,schedule_request,Sample message content 1 in conversation 12,2026-04-17 10:22:17.053932,replied,361.0,3,False,,enc_key_28ad36f30868cf80
MSG_12_2,CONV_12,MATCH_2152,S1005,mentee,ALUMNI_M1769,mentor,text,Sample message content 2 in conversation 12,2026-04-18 13:22:17.053969,delivered,690.0,0,True,,enc_key_5672e2c1d6b250ba
MSG_12_3,CONV_12,MATCH_2152,S1005,mentee,ALUMNI_M1769,mentor,schedule_request,Sample message content 3 in conversation 12,2026-04-30 08:22:17.054002,sent,1252.0,1,True,,enc_key_0f5588ddc5de164e
MSG_12_4,CONV_12,MATCH_2152,S1005,mentee,ALUMNI_M1769,mentor,text,Sample message content 4 in conversation 12,2026-04-09 12:22:17.054031,delivered,1166.0,0,False,,enc_key_fb3835c4378f634f
MSG_12_5,CONV_12,MATCH_2152,ALUMNI_M1769,mentor,S1005,mentee,voice_note,Sample message content 5 in conversation 12,2026-05-05 18:22:17.054064,replied,1438.0,3,False,,enc_key_268431352ef88793
MSG_12_6,CONV_12,MATCH_2152,ALUMNI_M1769,mentor,S1005,mentee,file,Sample message content 6 in conversation 12,2026-04-21 10:22:17.054096,sent,134.0,1,True,,enc_key_3d5f9033336e57d4
MSG_13_0,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,voice_note,Sample message content 0 in conversation 13,2026-04-16 05:22:17.055520,replied,,0,True,,enc_key_b1b780f89c3865bd
MSG_13_1,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,file,Sample message content 1 in conversation 13,2026-04-19 22:22:17.055592,read,122.0,3,True,,enc_key_aec5bc0fa3a9619c
MSG_13_2,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,video_call,Sample message content 2 in conversation 13,2026-04-18 16:22:17.055628,replied,1119.0,2,False,,enc_key_42d551493a322a90
MSG_13_3,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,text,Sample message content 3 in conversation 13,2026-04-27 12:22:17.055673,read,1074.0,2,True,,enc_key_8912206057c362f7
MSG_13_4,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,voice_note,Sample message content 4 in conversation 13,2026-04-22 03:22:17.055705,read,1309.0,2,False,,enc_key_01e8a7c75cdcf13d
MSG_13_5,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,voice_note,Sample message content 5 in conversation 13,2026-04-15 12:22:17.055736,sent,157.0,3,True,,enc_key_7ad596dbe85207df
MSG_13_6,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,video_call,Sample message content 6 in conversation 13,2026-04-28 11:22:17.057316,replied,619.0,0,False,,enc_key_a705f3642b9ad2ce
MSG_13_7,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,file,Sample message content 7 in conversation 13,2026-05-03 09:22:17.057369,replied,1215.0,1,False,,enc_key_fb39d230cc5a3f0a
MSG_13_8,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,schedule_request,Sample message content 8 in conversation 13,2026-04-06 17:22:17.057407,replied,1052.0,2,True,,enc_key_4599f20f89ae8b3d
MSG_13_9,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,schedule_request,Sample message content 9 in conversation 13,2026-04-21 09:22:17.057441,replied,1021.0,2,True,,enc_key_3c432ae7a2c3f4f9
MSG_13_10,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,file,Sample message content 10 in conversation 13,2026-04-27 05:22:17.057473,read,235.0,3,True,,enc_key_b21410d6912e15a9
MSG_13_11,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,video_call,Sample message content 11 in conversation 13,2026-05-05 09:22:17.057503,read,1094.0,2,False,,enc_key_be0491f57c476757
MSG_13_12,CONV_13,MATCH_6341,M1914,mentor,S1885,mentee,text,Sample message content 12 in conversation 13,2026-04-17 17:22:17.057533,replied,566.0,1,True,,enc_key_1cb3d8a1c1dd87de
MSG_13_13,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,text,Sample message content 13 in conversation 13,2026-04-15 17:22:17.057572,sent,367.0,2,False,2026-04-24 11:22:17.057586,enc_key_bd7a0b82f3e61dcb
MSG_13_14,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,video_call,Sample message content 14 in conversation 13,2026-04-09 00:22:17.057612,replied,758.0,3,True,2026-04-20 11:22:17.057627,enc_key_de91e90a15ee4ac6
MSG_13_15,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,file,Sample message content 15 in conversation 13,2026-04-14 22:22:17.057650,sent,891.0,1,False,,enc_key_bf2882ddf0688e73
MSG_13_16,CONV_13,MATCH_6341,S1885,mentee,M1914,mentor,schedule_request,Sample message content 16 in conversation 13,2026-04-19 12:22:17.057682,sent,1350.0,3,True,,enc_key_4db0f3d08d21c2ed
MSG_14_0,CONV_14,MATCH_1168,S656,mentee,ALUMNI_M5850,mentor,schedule_request,Sample message content 0 in conversation 14,2026-04-07 02:22:17.058513,sent,,1,True,,enc_key_78d4ccd0790026d9
MSG_14_1,CONV_14,MATCH_1168,ALUMNI_M5850,mentor,S656,mentee,voice_note,Sample message content 1 in conversation 14,2026-04-23 13:22:17.058563,read,844.0,1,False,,enc_key_0047098e785cf579
MSG_15_0,CONV_15,MATCH_2936,M2827,mentor,S1109,mentee,voice_note,Sample message content 0 in conversation 15,2026-04-29 09:22:17.063455,replied,,0,True,,enc_key_c705e1dcbf1d5c8c
MSG_15_1,CONV_15,MATCH_2936,S1109,mentee,M2827,mentor,file,Sample message content 1 in conversation 15,2026-04-15 20:22:17.063508,replied,472.0,2,True,2026-05-06 11:22:17.063524,enc_key_5785f3b4374b4aa9
MSG_15_2,CONV_15,MATCH_2936,S1109,mentee,M2827,mentor,text,Sample message content 2 in conversation 15,2026-04-17 15:22:17.063547,delivered,174.0,1,True,,enc_key_73a1661909d353a1
MSG_15_3,CONV_15,MATCH_2936,M2827,mentor,S1109,mentee,voice_note,Sample message content 3 in conversation 15,2026-05-04 04:22:17.063581,replied,431.0,2,True,,enc_key_19b12053e6000b81
