Target_Role,Job Title,Company,Job URL,Required_Degree,Extracted_Skills
Software Engineer,,Extracted,https://rooster.jobs/jobs/450498,Not Specified / Equivalent Experience,"['Flutter', 'Node.js', 'Figma', 'Next.js', 'Git', 'React', 'MongoDB', 'GitHub', 'Agile', 'JavaScript', 'React Native', 'CSS', 'Java', 'Tailwind', 'HTML']"
Software Engineer,,Extracted,https://rooster.jobs/jobs/516989,Bachelor in Computer In,"['Git', 'React', 'React Native', 'Scala', 'Flutter', 'Java', 'Kotlin', 'Swift']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516984,Bachelor in Business Administration,"['Jira', 'Tableau', 'Excel', 'Agile', 'SQL']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516427,Not Specified / Equivalent Experience,"['Next.js', 'Jira', 'Confluence', 'React', 'Agile', 'Scrum', 'Go', 'PostgreSQL', 'SQL']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516208,Degree in Business Administration,"['Excel', 'Jira']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/515146,Bachelor's in Business Administration,"['Jira', 'Kanban', 'Excel', 'Agile', 'Rust', 'Scrum']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516983,Bachelor in Business Administration,['Excel']
Business Analyst,,Extracted,https://rooster.jobs/jobs/516274,Not Specified / Equivalent Experience,"['Data Science', 'Excel', 'Scala']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516737,Bachelor in Engineering,"['Excel', 'Jira', 'Scala']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/516620,Bachelor in Business Management,['Excel']
Business Analyst,,Extracted,https://rooster.jobs/jobs/515366,Bachelor in Business Administration,['Excel']
Business Analyst,,Extracted,https://rooster.jobs/jobs/514177,Bachelor in Business,"['Jira', 'Excel', 'Agile', 'Figma', 'QA', 'SQL']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/515333,Degree in Finance,['Excel']
Business Analyst,,Extracted,https://rooster.jobs/jobs/515256,Master in Business,"['Automation', 'QA', 'Scala']"
Business Analyst,,Extracted,https://rooster.jobs/jobs/444578,Not Specified / Equivalent Experience,"['Security', 'Automation', 'Excel']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/515204,Not Specified / Equivalent Experience,"['Bash', 'Automation', 'Cybersecurity', 'Firewalls', 'Active Directory', 'Security', 'TCP/IP', 'Azure', 'Networking', 'DNS', 'JavaScript', 'Python', 'Scala', 'Rust', 'Java']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/449274,Not Specified / Equivalent Experience,"['Docker', 'Microservices', 'Cybersecurity', 'CI/CD', 'Angular', 'Ruby', 'Security', 'Azure', 'AWS', 'React', 'Agile', 'MySQL', 'Oracle', 'Python', 'Scala', 'Go', 'Rust', 'PostgreSQL']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/445435,Not Specified / Equivalent Experience,"['Cybersecurity', 'Automation', 'Active Directory', 'Security', 'Excel']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/514459,Not Specified / Equivalent Experience,"['Security', 'Cybersecurity']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/511710,Bachelor in Information Technology,"['Security', 'Cybersecurity', 'Excel', 'Scala']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/516990,Bachelor in Computer Science,"['Bash', 'CI/CD', 'Cybersecurity', 'Firewalls', 'Security', 'Azure', 'Excel', 'AWS', 'GCP', 'System Design', 'Penetration Testing', 'Python']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/515175,Not Specified / Equivalent Experience,"['Automation', 'Firewalls', 'Security', 'Azure', 'Excel', 'AWS', 'Networking', 'Scala']"
Cybersecurity,,Extracted,https://rooster.jobs/jobs/515176,Not Specified / Equivalent Experience,"['Firewalls', 'Automation', 'Security', 'Azure', 'Networking', 'AWS', 'Scala']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/516587,Bachelor in Computer Science,"['Azure', 'Google Cloud', 'AWS', 'Scala']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/515103,Bachelor's in Computer Science,"['Docker', 'Microservices', 'Cybersecurity', 'Kubernetes', 'Terraform', 'Security', 'Excel', 'AWS', 'Networking', 'NoSQL', 'System Design', 'Data Warehousing', 'Python', 'Scala', 'TypeScript', 'Rust', 'GraphQL', 'SQL']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/449064,Bachelor's (Field Unspecified),"['Docker', 'Bash', 'CI/CD', 'Kubernetes', 'Ansible', 'Terraform', 'Automation', 'Azure', 'AWS', 'GitHub', 'GCP', 'GitLab', 'Python', 'Jenkins', 'CircleCI']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/516495,Not Specified / Equivalent Experience,"['Firewalls', 'Automation', 'Active Directory', 'VPN', 'Security', 'Azure', 'Excel', 'Shell Scripting', 'Networking']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/516586,Bachelor in Telecommunications,"['Google Cloud', 'Azure', 'Excel', 'AWS', 'Go']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/515758,Bachelor (Field Unspecified),"['Docker', 'Automation', 'CI/CD', 'Kubernetes', 'Terraform', 'Security', 'AWS', 'Agile', 'Scala', 'Scrum']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/516981,Bachelor in Computer Science,"['Docker', 'Microservices', 'Kubernetes', 'Security', 'Excel', 'AWS', 'NoSQL', 'GCP', 'Scala', 'GraphQL', 'SQL']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/507746,Not Specified / Equivalent Experience,['Scala']
Cloud Architect,,Extracted,https://rooster.jobs/jobs/15492,Not Specified / Equivalent Experience,"['Linux', 'Azure', 'Excel', 'AWS']"
Cloud Architect,,Extracted,https://rooster.jobs/jobs/16175,Not Specified / Equivalent Experience,"['CI/CD', 'Security', 'AWS', 'MongoDB', 'NoSQL', 'Penetration Testing', 'Linux']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/515667,Not Specified / Equivalent Experience,"['Azure', 'Agile', 'Spark', 'Python', 'SQL']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/15855,Not Specified / Equivalent Experience,"['AWS', 'Oracle', 'Spark', 'Databricks', 'Python', 'SQL']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/54483,Bachelor (Field Unspecified),"['ETL', 'Git', 'SQL']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/516339,Bachelor in Engineering,"['Automation', 'Security', 'Excel', 'Agile', 'Scala']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/516494,Not Specified / Equivalent Experience,"['CI/CD', 'Azure', 'REST API', 'ETL', 'Data Warehousing', 'Scala', 'Rust', 'GitHub', 'QA', 'SQL']"
Data Engineer,,Extracted,https://rooster.jobs/jobs/516976,Not Specified / Equivalent Experience,['Excel']
Data Engineer,,Extracted,https://rooster.jobs/jobs/516978,Not Specified / Equivalent Experience,['Excel']
Data Engineer,,Extracted,https://rooster.jobs/jobs/505903,Not Specified / Equivalent Experience,"['Rust', 'Oracle', 'Excel']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/508253,Not Specified / Equivalent Experience,"['Machine Learning', 'Automation', 'REST API', 'Python', 'GitHub']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/508251,Not Specified / Equivalent Experience,"['Machine Learning', 'Automation', 'PyTorch', 'Python', 'GitHub']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/516291,Master in Computer Science,"['Machine Learning', 'NLP', 'Security', 'Azure', 'AWS', 'Computer Vision', 'GCP', 'PyTorch', 'Python', 'Scala', 'TensorFlow']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/54303,BSc (Field Unspecified),['Excel']
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/15615,Not Specified / Equivalent Experience,"['Machine Learning', 'Data Analytics', 'Excel', 'Python']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/507144,Not Specified / Equivalent Experience,"['Node.js', 'React', 'Golang', 'Python', 'React Native', 'Flutter']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/514031,Master in Computer Science,"['Machine Learning', 'Agile', 'Excel', 'Security']"
Machine Learning Engineer,,Extracted,https://rooster.jobs/jobs/441394,Not Specified / Equivalent Experience,"['Go', 'Machine Learning', 'Excel']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/449327,Bachelor's (Field Unspecified),"['Scala', 'CI/CD', 'Azure', 'Excel', 'AWS', 'React', 'Git', 'Agile', 'React Native', 'Flutter', 'Java', 'Kotlin']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/449736,Not Specified / Equivalent Experience,['Flutter']
Mobile Developer,,Extracted,https://rooster.jobs/jobs/515386,Not Specified / Equivalent Experience,"['Go', 'CI/CD', 'React', 'React Native']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/509025,Not Specified / Equivalent Experience,"['Figma', 'Next.js', 'Git', 'Agile', 'REST API', 'Flutter', 'GitHub', 'Scrum']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/516008,Bachelor in Computer Science,"['Scala', 'Computer Vision', 'Linux', 'Java', 'QA']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/16239,Not Specified / Equivalent Experience,"['CI/CD', 'MongoDB', 'React', 'REST API', 'JavaScript', 'MySQL', 'React Native', 'Java']"
Mobile Developer,,Extracted,https://rooster.jobs/jobs/516011,Bachelor in Computer Science,"['Computer Vision', 'Linux', 'Java', 'Kotlin', 'QA']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/16306,Degree in Computer Science,"['Excel', 'Scala']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/442712,Degree in Computer Science,"['Excel', 'Scala']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/443149,Not Specified / Equivalent Experience,"['Node.js', 'Excel', 'AWS', 'React', 'MongoDB', 'Git', 'JavaScript', 'Java', 'HTML']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/16075,Not Specified / Equivalent Experience,"['MySQL', 'PHP', 'React']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/517222,Not Specified / Equivalent Experience,"['Security', 'JavaScript', 'HTML', 'CSS', 'Java', 'PHP']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/20179,Not Specified / Equivalent Experience,"['Figma', 'PHP', 'Excel', 'React', 'JavaScript', 'CSS', 'Java', 'HTML']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/445306,Bachelor's (Field Unspecified),"['Vue', 'Security', 'Git', 'React', 'JavaScript', 'MySQL', 'HTML', 'Scala', 'CSS', 'Java', 'Tailwind', 'PHP', 'PostgreSQL']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/516022,Not Specified / Equivalent Experience,"['CI/CD', 'Angular', 'Jira', 'Azure', 'AWS', 'React', 'Agile', 'Scala', 'GitHub']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/13842,Not Specified / Equivalent Experience,"['Node.js', 'Git', 'React', 'Agile', 'JavaScript', 'REST API', 'HTML', 'Scala', 'CSS', 'Java', 'PHP']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/516972,Not Specified / Equivalent Experience,"['Node.js', 'Security', 'Excel', 'Git', 'React', 'MongoDB', 'REST API', 'JavaScript', 'MySQL', 'HTML', 'CSS', 'Java', 'Tailwind', 'PHP']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/15876,Not Specified / Equivalent Experience,"['Node.js', 'Angular', 'AWS', 'NoSQL', 'JavaScript', 'TypeScript', 'Java']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/515385,Not Specified / Equivalent Experience,"['Node.js', 'Microservices', 'CI/CD', 'Next.js', 'AWS', 'React', 'NoSQL', 'MongoDB', 'Redis', 'MySQL', 'Scala', 'Kafka', 'QA', 'SQL']"
Full Stack Developer,,Extracted,https://rooster.jobs/jobs/30639,Not Specified / Equivalent Experience,"['Docker', 'Microservices', 'Cybersecurity', 'CI/CD', 'Angular', 'Ruby', 'Security', 'Azure', 'AWS', 'React', 'Agile', 'MySQL', 'Oracle', 'Python', 'Scala', 'Go', 'Rust', 'PostgreSQL']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/506154,Not Specified / Equivalent Experience,"['JavaScript', 'HTML', 'CSS', 'Java', 'Figma']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/506052,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/446208,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/449341,Not Specified / Equivalent Experience,"['Excel', 'JavaScript', 'HTML', 'CSS', 'Java', 'Figma']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/516552,Bachelor in Design,"['CSS', 'Figma', 'HTML']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/446763,Not Specified / Equivalent Experience,"['Figma', 'Scala']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/61036,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/516421,Not Specified / Equivalent Experience,"['CSS', 'Figma', 'HTML', 'React']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/508831,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/506623,Not Specified / Equivalent Experience,"['Excel', 'Figma']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/15129,Not Specified / Equivalent Experience,"['Flutter', 'CI/CD', 'Git']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/515876,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/516826,Not Specified / Equivalent Experience,['Excel']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/506051,Not Specified / Equivalent Experience,"['Excel', 'Figma']"
UI UX Designer,,Extracted,https://rooster.jobs/jobs/11796,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/509063,Not Specified / Equivalent Experience,['Figma']
UI UX Designer,,Extracted,https://rooster.jobs/jobs/507266,Not Specified / Equivalent Experience,"['Go', 'Figma']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/39683,Bachelor's in Information Technology,"['Excel', 'PMP', 'Scala']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/516652,Not Specified / Equivalent Experience,"['Go', 'Rust', 'Jira', 'Scala']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/514178,Bachelor (Field Unspecified),"['Jira', 'Confluence', 'PMP', 'Agile', 'Scala', 'Figma', 'Scrum']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/61099,Bachelor's in Business Administration,"['Jira', 'Agile', 'Excel', 'Scrum']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/11997,Not Specified / Equivalent Experience,"['Agile', 'Jira', 'Scala']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/448836,Not Specified / Equivalent Experience,['Excel']
IT Project Manager,,Extracted,https://rooster.jobs/jobs/513766,Not Specified / Equivalent Experience,['Agile']
IT Project Manager,,Extracted,https://rooster.jobs/jobs/437769,Bachelor's in Business Administration,"['Excel', 'PMP', 'Jira']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/11425,Not Specified / Equivalent Experience,"['Go', 'Excel', 'PMP']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/516510,Bachelor in Information Technology,"['Excel', 'PMP', 'Jira']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/509741,Not Specified / Equivalent Experience,['QA']
IT Project Manager,,Extracted,https://rooster.jobs/jobs/517152,Not Specified / Equivalent Experience,"['Jira', 'Confluence', 'Agile', 'Figma', 'QA', 'Scrum']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/512011,Bachelor's in Business,"['Kanban', 'Confluence', 'Excel', 'PMP', 'Agile', 'Scrum']"
IT Project Manager,,Extracted,https://rooster.jobs/jobs/516136,Bachelor's (Field Unspecified),"['Excel', 'QA', 'PMP']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/517206,Not Specified / Equivalent Experience,"['Docker', 'Go', 'CI/CD', 'Next.js', 'Linux', 'Security', 'Networking', 'AWS', 'React', 'DNS', 'TypeScript', 'Rust', 'GitHub']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/516991,Bachelor in Computer Science,"['Docker', 'Bash', 'CI/CD', 'Kubernetes', 'Ansible', 'Terraform', 'Security', 'Azure', 'AWS', 'GCP', 'GitLab', 'Python', 'Scala', 'Jenkins']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/511480,Degree in Engineering,"['Automation', 'Excel', 'Scala']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/516044,Not Specified / Equivalent Experience,"['Microservices', 'Terraform', 'AWS', 'Python', 'Go', 'GitHub', 'Docker', 'Automation', 'Ruby', 'MongoDB', 'Redis', 'GCP', 'Scala', 'Linux', 'Cybersecurity', 'Kubernetes', 'DynamoDB', 'Excel', 'Networking', 'Rust', 'Bash', 'CI/CD', 'Security', 'Azure', 'PostgreSQL']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/516280,Bachelor's in Computer Science,"['Excel', 'JavaScript', 'CSS', 'Linux', 'Java', 'HTML', 'SQL']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/515141,Bachelor in Electrical,['Excel']
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/516050,BSc in Mechanical,"['Automation', 'Excel']"
Site Reliability Engineer,,Extracted,https://rooster.jobs/jobs/515813,Bachelor in Computer Science,"['Linux', 'Excel', 'Agile', 'CSS', 'Rust', 'Java', 'HTML', 'SQL']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/445447,Not Specified / Equivalent Experience,"['Security', 'Firewalls', 'Automation']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/13460,Not Specified / Equivalent Experience,"['DNS', 'Networking']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/516845,Bachelor in Telecommunications,"['TCP/IP', 'Networking', 'Shell Scripting', 'MySQL', 'Linux', 'SQL']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/445439,Not Specified / Equivalent Experience,"['Security', 'Firewalls', 'Automation']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/513872,Not Specified / Equivalent Experience,"['Security', 'Firewalls', 'Excel', 'Scala']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/513877,Not Specified / Equivalent Experience,"['Security', 'Cybersecurity', 'Automation', 'Scala']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/511598,Degree in Any Related Field,"['Cybersecurity', 'Security', 'Networking', 'Excel', 'Rust']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/514717,Masters (Field Unspecified),"['Java', 'Networking', 'Excel', 'Python']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/515832,Masters (Field Unspecified),"['Java', 'Networking', 'Excel', 'Python']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/515659,Degree in Telecommunication,"['Docker', 'Bash', 'Automation', 'Angular', 'Kubernetes', 'Terraform', 'Ansible', 'Security', 'Excel', 'Networking', 'React', 'Agile', 'Scrum', 'Python', 'Java', 'PHP', 'Jenkins']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/511003,Not Specified / Equivalent Experience,"['Security', 'Networking', 'Excel', 'Scala']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/512567,Masters (Field Unspecified),"['Java', 'Networking', 'Excel', 'Python']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/517054,Not Specified / Equivalent Experience,['Excel']
Network Engineer,,Extracted,https://rooster.jobs/jobs/517053,Not Specified / Equivalent Experience,"['Rust', 'Excel']"
Network Engineer,,Extracted,https://rooster.jobs/jobs/516343,Not Specified / Equivalent Experience,['Rust']
Database Administrator,,Extracted,https://rooster.jobs/jobs/516293,Bachelor in Computer Science,"['Security', 'Excel', 'Oracle', 'MySQL', 'PostgreSQL', 'SQL']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/449468,Bachelor's in Computer Science,"['Automation', 'Active Directory', 'Jira', 'Security', 'Excel', 'Python', 'Scala', 'SQL']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/509278,Masters (Field Unspecified),"['Security', 'Excel', 'SQL', 'Scala']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/23307,Not Specified / Equivalent Experience,['Excel']
Database Administrator,,Extracted,https://rooster.jobs/jobs/516697,Not Specified / Equivalent Experience,"['Security', 'Linux', 'Networking']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/16798,Not Specified / Equivalent Experience,['Automation']
Database Administrator,,Extracted,https://rooster.jobs/jobs/516341,Not Specified / Equivalent Experience,"['Active Directory', 'Networking', 'Excel', 'DNS', 'Scala']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/517107,Degree in Work Experience,"['Automation', 'Cybersecurity', 'Linux', 'Security', 'Azure', 'Excel', 'Scala', 'Rust']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/13711,Not Specified / Equivalent Experience,"['Azure', 'SQL']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/15126,Not Specified / Equivalent Experience,"['Selenium', 'CI/CD', 'Jira', 'Security', 'Azure', 'Excel', 'AWS', 'Git', 'Redis', 'Oracle', 'Manual Testing', 'JUnit', 'Agile', 'Bitbucket', 'Java']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/506662,Bachelors (Field Unspecified),['Excel']
Database Administrator,,Extracted,https://rooster.jobs/jobs/441410,Bachelor in Computer Science,"['SQL', 'Oracle', 'Python', 'Scala']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/516370,Bachelor (Field Unspecified),"['Microservices', 'Angular', 'Azure', 'React', 'System Design', 'Scala', 'SQL']"
Database Administrator,,Extracted,https://rooster.jobs/jobs/444664,Not Specified / Equivalent Experience,"['Bash', 'Automation', 'AWS', 'MySQL', 'Python', 'PostgreSQL', 'SQL']"
