year,district,degree_program,university,cutoff_z
2020,Gampaha,Arts,Moratuwa,0.61
2020,Gampaha,Arts,Ruhuna,0.63
2020,Kandy,Medicine,Colombo,2.24
2020,Kandy,Medicine,Peradeniya,1.97
2020,Kandy,Medicine,Kelaniya,2.09
2020,Kandy,Medicine,Moratuwa,2.21
2020,Kandy,Medicine,Ruhuna,2.21
2020,Kandy,Engineering,Colombo,1.98
2020,Kandy,Engineering,Peradeniya,1.79
2020,Kandy,Engineering,Kelaniya,1.94
2020,Kandy,Engineering,Moratuwa,1.61
2020,Kandy,Engineering,Ruhuna,1.75
2020,Kandy,IT,Colombo,1.33
2020,Kandy,IT,Peradeniya,1.46
2020,Kandy,IT,Kelaniya,1.4
2020,Kandy,IT,Moratuwa,1.32
2020,Kandy,IT,Ruhuna,1.24
2020,Kandy,Business,Colombo,1.32
2020,Kandy,Business,Peradeniya,1.13
2020,Kandy,Business,Kelaniya,1.06
2020,Kandy,Business,Moratuwa,1.28
2020,Kandy,Business,Ruhuna,1.09
2020,Kandy,Arts,Colombo,0.74
2020,Kandy,Arts,Peradeniya,0.89
2020,Kandy,Arts,Kelaniya,0.96
2020,Kandy,Arts,Moratuwa,0.88
2020,Kandy,Arts,Ruhuna,0.7
2020,Galle,Medicine,Colombo,2.15
2020,Galle,Medicine,Peradeniya,2.18
2020,Galle,Medicine,Kelaniya,2.12
2020,Galle,Medicine,Moratuwa,2.15
2020,Galle,Medicine,Ruhuna,2.03
2020,Galle,Engineering,Colombo,1.64
2020,Galle,Engineering,Peradeniya,1.77
2020,Galle,Engineering,Kelaniya,1.72
2020,Galle,Engineering,Moratuwa,1.76
2020,Galle,Engineering,Ruhuna,1.71
2020,Galle,IT,Colombo,1.14
2020,Galle,IT,Peradeniya,1.46
2020,Galle,IT,Kelaniya,1.3
2020,Galle,IT,Moratuwa,1.22
2020,Galle,IT,Ruhuna,1.34
2020,Galle,Business,Colombo,1.03
2020,Galle,Business,Peradeniya,1.37
2020,Galle,Business,Kelaniya,1.24
2020,Galle,Business,Moratuwa,1.2
2020,Galle,Business,Ruhuna,1.02
2020,Galle,Arts,Colombo,0.65
2020,Galle,Arts,Peradeniya,0.67
2020,Galle,Arts,Kelaniya,0.64
2020,Galle,Arts,Moratuwa,0.7
2020,Galle,Arts,Ruhuna,0.8
2020,Jaffna,Medicine,Colombo,1.9
2020,Jaffna,Medicine,Peradeniya,2.11
2020,Jaffna,Medicine,Kelaniya,2.03
2020,Jaffna,Medicine,Moratuwa,2.14
2020,Jaffna,Medicine,Ruhuna,2.15
2020,Jaffna,Engineering,Colombo,1.77
2020,Jaffna,Engineering,Peradeniya,1.75
2020,Jaffna,Engineering,Kelaniya,1.92
2020,Jaffna,Engineering,Moratuwa,1.68
2020,Jaffna,Engineering,Ruhuna,2.0
2020,Jaffna,IT,Colombo,1.35
2020,Jaffna,IT,Peradeniya,1.46
2020,Jaffna,IT,Kelaniya,1.27
2020,Jaffna,IT,Moratuwa,1.21
2020,Jaffna,IT,Ruhuna,1.12
2020,Jaffna,Business,Colombo,1.34
2020,Jaffna,Business,Peradeniya,1.25
2020,Jaffna,Business,Kelaniya,1.2
2020,Jaffna,Business,Moratuwa,1.21
2020,Jaffna,Business,Ruhuna,1.23
2020,Jaffna,Arts,Colombo,0.97
2020,Jaffna,Arts,Peradeniya,0.93
2020,Jaffna,Arts,Kelaniya,0.63
2020,Jaffna,Arts,Moratuwa,0.67
2020,Jaffna,Arts,Ruhuna,0.84
2020,Kurunegala,Medicine,Colombo,2.07
2020,Kurunegala,Medicine,Peradeniya,1.95
2020,Kurunegala,Medicine,Kelaniya,2.25
2020,Kurunegala,Medicine,Moratuwa,1.91
2020,Kurunegala,Medicine,Ruhuna,2.17
2020,Kurunegala,Engineering,Colombo,1.96
2020,Kurunegala,Engineering,Peradeniya,1.87
2020,Kurunegala,Engineering,Kelaniya,1.93
2020,Kurunegala,Engineering,Moratuwa,1.73
2020,Kurunegala,Engineering,Ruhuna,1.71
2020,Kurunegala,IT,Colombo,1.19
2020,Kurunegala,IT,Peradeniya,1.26
2020,Kurunegala,IT,Kelaniya,1.15
2020,Kurunegala,IT,Moratuwa,1.43
2020,Kurunegala,IT,Ruhuna,1.14
2020,Kurunegala,Business,Colombo,1.31
2020,Kurunegala,Business,Peradeniya,1.03
2020,Kurunegala,Business,Kelaniya,1.39
2020,Kurunegala,Business,Moratuwa,1.03
2020,Kurunegala,Business,Ruhuna,1.35
2020,Kurunegala,Arts,Colombo,0.71
2020,Kurunegala,Arts,Peradeniya,0.97
2020,Kurunegala,Arts,Kelaniya,0.8
2020,Kurunegala,Arts,Moratuwa,0.83
2020,Kurunegala,Arts,Ruhuna,0.89
